"@timestamp","netflow.exporter.ip","network.transport","source.ip","source.port","destination.ip","destination.port","network.bytes","network.packets"
"2022-04-13 09:18:50.188Z","192.168.186.128",tcp,"192.168.186.93",60840,"192.168.186.129",80,40,1
"2022-04-13 09:18:50.019Z","192.168.186.128",tcp,"192.168.186.93",60839,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.911Z","192.168.186.128",tcp,"192.168.186.93",60838,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.889Z","192.168.186.128",tcp,"192.168.186.93",60837,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.887Z","192.168.186.128",tcp,"192.168.186.93",60835,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.887Z","192.168.186.128",tcp,"192.168.186.93",60836,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.886Z","192.168.186.128",tcp,"192.168.186.93",60834,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.885Z","192.168.186.128",tcp,"192.168.186.93",60833,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.884Z","192.168.186.128",tcp,"192.168.186.93",60831,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.884Z","192.168.186.128",tcp,"192.168.186.93",60832,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.882Z","192.168.186.128",tcp,"192.168.186.93",60830,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.881Z","192.168.186.128",tcp,"192.168.186.93",60828,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.881Z","192.168.186.128",tcp,"192.168.186.93",60829,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.880Z","192.168.186.128",tcp,"192.168.186.93",60827,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.878Z","192.168.186.128",tcp,"192.168.186.93",60826,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.875Z","192.168.186.128",tcp,"192.168.186.93",60825,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.873Z","192.168.186.128",tcp,"192.168.186.93",60824,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.871Z","192.168.186.128",tcp,"192.168.186.93",60823,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.864Z","192.168.186.128",tcp,"192.168.186.93",60822,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.863Z","192.168.186.128",tcp,"192.168.186.93",60820,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.863Z","192.168.186.128",tcp,"192.168.186.93",60821,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.861Z","192.168.186.128",tcp,"192.168.186.93",60818,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.861Z","192.168.186.128",tcp,"192.168.186.93",60819,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.860Z","192.168.186.128",tcp,"192.168.186.93",60817,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.855Z","192.168.186.128",tcp,"192.168.186.93",60816,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.840Z","192.168.186.128",tcp,"192.168.186.93",60815,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.785Z","192.168.186.128",tcp,"192.168.186.93",60814,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.754Z","192.168.186.128",tcp,"192.168.186.93",60813,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.688Z","192.168.186.128",tcp,"192.168.186.93",60812,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.494Z","192.168.186.128",tcp,"192.168.186.93",60811,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.451Z","192.168.186.128",tcp,"192.168.186.93",60810,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.430Z","192.168.186.128",tcp,"192.168.186.93",60809,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.406Z","192.168.186.128",tcp,"192.168.186.93",60808,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.311Z","192.168.186.128",tcp,"192.168.186.93",60791,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.309Z","192.168.186.128",tcp,"192.168.186.93",60790,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.308Z","192.168.186.128",tcp,"192.168.186.93",60789,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.307Z","192.168.186.128",tcp,"192.168.186.93",60788,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.306Z","192.168.186.128",tcp,"192.168.186.93",60787,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.306Z","192.168.186.128",tcp,"192.168.186.93",60786,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.305Z","192.168.186.128",tcp,"192.168.186.93",60785,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.304Z","192.168.186.128",tcp,"192.168.186.93",60784,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.303Z","192.168.186.128",tcp,"192.168.186.93",60782,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.303Z","192.168.186.128",tcp,"192.168.186.93",60783,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.302Z","192.168.186.128",tcp,"192.168.186.93",60781,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.301Z","192.168.186.128",tcp,"192.168.186.93",60780,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.300Z","192.168.186.128",tcp,"192.168.186.93",60779,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.298Z","192.168.186.128",tcp,"192.168.186.93",60778,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.293Z","192.168.186.128",tcp,"192.168.186.93",60777,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.293Z","192.168.186.128",tcp,"192.168.186.93",60776,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.290Z","192.168.186.128",tcp,"192.168.186.93",60775,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.289Z","192.168.186.128",tcp,"192.168.186.93",60774,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.288Z","192.168.186.128",tcp,"192.168.186.93",60773,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.287Z","192.168.186.128",tcp,"192.168.186.93",60772,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.286Z","192.168.186.128",tcp,"192.168.186.93",60771,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.284Z","192.168.186.128",tcp,"192.168.186.93",60770,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.283Z","192.168.186.128",tcp,"192.168.186.93",60769,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.282Z","192.168.186.128",tcp,"192.168.186.93",60768,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.281Z","192.168.186.128",tcp,"192.168.186.93",60767,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.280Z","192.168.186.128",tcp,"192.168.186.93",60766,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.278Z","192.168.186.128",tcp,"192.168.186.93",60765,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.277Z","192.168.186.128",tcp,"192.168.186.93",60764,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.276Z","192.168.186.128",tcp,"192.168.186.93",60763,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.270Z","192.168.186.128",tcp,"192.168.186.93",60762,"192.168.186.129",80,40,1
"2022-04-13 09:18:49.269Z","192.168.186.128",tcp,"192.168.186.93",60761,"192.168.186.129",80,40,1
