"@timestamp","netflow.exporter.ip","network.transport","source.ip","source.port","destination.ip","destination.port","network.bytes","network.packets"
"2022-04-13 08:55:41.964Z","192.168.186.128",tcp,"192.168.186.131",51832,"192.168.186.129",25,216,4
"2022-04-13 08:55:34.963Z","192.168.186.128",tcp,"192.168.186.131",51830,"192.168.186.129",25,378,6
"2022-04-13 08:55:34.963Z","192.168.186.128",tcp,"192.168.186.131",51828,"192.168.186.129",25,216,4
"2022-04-13 08:55:34.961Z","192.168.186.128",tcp,"192.168.186.131",51826,"192.168.186.129",25,785,5
"2022-04-13 08:55:28.064Z","192.168.186.128",tcp,"192.168.186.131",51824,"192.168.186.129",25,517,9
"2022-04-13 08:55:27.960Z","192.168.186.128",tcp,"192.168.186.131",51818,"192.168.186.129",25,390,7
"2022-04-13 08:55:27.960Z","192.168.186.128",tcp,"192.168.186.131",51820,"192.168.186.129",25,216,4
"2022-04-13 08:55:27.959Z","192.168.186.128",tcp,"192.168.186.131",51816,"192.168.186.129",25,216,4
"2022-04-13 08:55:27.954Z","192.168.186.128",tcp,"192.168.186.131",51812,"192.168.186.129",25,733,4
"2022-04-13 08:55:15.215Z","192.168.186.128",tcp,"192.168.186.131",51728,"192.168.186.129",25,104,2
"2022-04-13 08:55:14.962Z","192.168.186.128",tcp,"192.168.186.131",51810,"192.168.186.129",25,733,4
"2022-04-13 08:55:09.994Z","192.168.186.128",tcp,"192.168.186.131",40106,"192.168.186.129",22,52,1
"2022-04-13 08:55:09.994Z","192.168.186.128",tcp,"192.168.186.131",40164,"192.168.186.129",22,52,1
"2022-04-13 08:55:09.993Z","192.168.186.128",tcp,"192.168.186.131",40156,"192.168.186.129",22,52,1
"2022-04-13 08:55:09.791Z","192.168.186.128",tcp,"192.168.186.131",40170,"192.168.186.129",22,"1,052",5
"2022-04-13 08:55:08.879Z","192.168.186.128",tcp,"192.168.186.131",51786,"192.168.186.129",25,435,4
"2022-04-13 08:55:08.780Z","192.168.186.128",tcp,"192.168.186.131",51780,"192.168.186.129",25,428,4
"2022-04-13 08:55:08.779Z","192.168.186.128",tcp,"192.168.186.131",40144,"192.168.186.129",22,875,6
"2022-04-13 08:55:08.779Z","192.168.186.128",tcp,"192.168.186.131",40130,"192.168.186.129",22,104,2
"2022-04-13 08:55:07.943Z","192.168.186.128",tcp,"192.168.186.131",51706,"192.168.186.129",25,329,3
"2022-04-13 08:55:07.943Z","192.168.186.128",tcp,"192.168.186.131",51708,"192.168.186.129",25,335,3
"2022-04-13 08:55:07.942Z","192.168.186.128",tcp,"192.168.186.131",51702,"192.168.186.129",25,320,3
"2022-04-13 08:55:07.942Z","192.168.186.128",tcp,"192.168.186.131",51704,"192.168.186.129",25,329,3
"2022-04-13 08:55:07.940Z","192.168.186.128",tcp,"192.168.186.131",51696,"192.168.186.129",25,334,3
"2022-04-13 08:55:07.940Z","192.168.186.128",tcp,"192.168.186.131",51694,"192.168.186.129",25,330,3
"2022-04-13 08:55:07.938Z","192.168.186.128",tcp,"192.168.186.131",51686,"192.168.186.129",25,324,3
"2022-04-13 08:55:07.938Z","192.168.186.128",tcp,"192.168.186.131",51684,"192.168.186.129",25,182,3
"2022-04-13 08:55:07.937Z","192.168.186.128",tcp,"192.168.186.131",51688,"192.168.186.129",25,344,3
"2022-04-13 08:55:07.932Z","192.168.186.128",tcp,"192.168.186.131",40042,"192.168.186.129",22,164,3
"2022-04-13 08:55:07.931Z","192.168.186.128",tcp,"192.168.186.131",51678,"192.168.186.129",25,786,3
"2022-04-13 08:55:07.931Z","192.168.186.128",tcp,"192.168.186.131",40044,"192.168.186.129",22,164,3
"2022-04-13 08:55:07.930Z","192.168.186.128",tcp,"192.168.186.131",51672,"192.168.186.129",25,216,4
"2022-04-13 08:55:07.930Z","192.168.186.128",tcp,"192.168.186.131",51674,"192.168.186.129",25,478,3
"2022-04-13 08:55:07.929Z","192.168.186.128",tcp,"192.168.186.131",51670,"192.168.186.129",25,216,4
"2022-04-13 08:55:07.467Z","192.168.186.128",tcp,"192.168.186.131",39400,"192.168.186.129",1,60,1
"2022-04-13 08:55:07.442Z","192.168.186.128",tcp,"192.168.186.131",39399,"192.168.186.129",1,60,1
"2022-04-13 08:55:07.415Z","192.168.186.128",tcp,"192.168.186.131",39398,"192.168.186.129",1,60,1
"2022-04-13 08:55:07.390Z","192.168.186.128",tcp,"192.168.186.131",39397,"192.168.186.129",22,60,1
